category,skill,count
hard_skills,sql,316
hard_skills,git,295
hard_skills,postgresql,232
hard_skills,docker,219
hard_skills,ci/cd,166
hard_skills,javascript,150
hard_skills,jira,148
hard_skills,python,142
hard_skills,linux,140
hard_skills,react,138
hard_skills,typescript,136
hard_skills,высшее образование,118
hard_skills,redis,111
hard_skills,java,107
hard_skills,kubernetes,106
hard_skills,зарплата,95
hard_skills,confluence,92
hard_skills,документооборот,73
hard_skills,postman,73
hard_skills,go,71
hard_skills,mysql,70
hard_skills,spring,67
hard_skills,подарки,64
hard_skills,php,61
hard_skills,vue,55
hard_skills,swagger,54
hard_skills,clickhouse,53
hard_skills,grafana,49
hard_skills,fastapi,46
hard_skills,golang,46
hard_skills,webpack,45
hard_skills,контроль качества,44
hard_skills,spring boot,43
hard_skills,активные продажи,42
hard_skills,gitlab ci,40
hard_skills,next.js,38
hard_skills,vite,37
hard_skills,корпоративы,37
hard_skills,mongodb,35
hard_skills,prometheus,35
hard_skills,ведение переговоров,35
hard_skills,заключение договоров,34
hard_skills,django,33
hard_skills,больничные,33
hard_skills,jest,29
hard_skills,командировки,28
hard_skills,nginx,28
hard_skills,oracle,28
hard_skills,k8s,27
hard_skills,jenkins,26
hard_skills,llm,26
hard_skills,bash,25
hard_skills,счета,25
hard_skills,сборка,24
hard_skills,баланс,24
hard_skills,laravel,24
hard_skills,asp.net,23
hard_skills,акты,23
hard_skills,kotlin,22
hard_skills,pytest,21
hard_skills,отчётность,21
hard_skills,b2b продажи,19
hard_skills,аудит,19
hard_skills,angular,18
hard_skills,elasticsearch,18
hard_skills,хранение,18
hard_skills,ansible,18
hard_skills,выполнение плана,18
hard_skills,работа с возражениями,17
hard_skills,vuejs,16
hard_skills,делопроизводство,15
hard_skills,повышение квалификации,15
hard_skills,cypress,14
hard_skills,гост,13
hard_skills,сопровождение клиентов,13
hard_skills,zabbix,12
hard_skills,zoom,12
hard_skills,pandas,12
hard_skills,swift,12
hard_skills,честный знак,12
hard_skills,сверки,12
hard_skills,selenium,11
hard_skills,вэд,11
hard_skills,flask,11
hard_skills,билеты,11
hard_skills,terraform,11
hard_skills,github actions,11
hard_skills,монтаж,10
hard_skills,langchain,10
hard_skills,nuxt,10
hard_skills,helm,10
hard_skills,ведение клиентов,10
hard_skills,rag,9
hard_skills,express,9
hard_skills,сертификация,9
hard_skills,reactjs,8
hard_skills,azure,8
hard_skills,чертежи,8
hard_skills,поиск поставщиков,8
hard_skills,отели,7
hard_skills,индивидуальный подход,7
hard_skills,организация мероприятий,7
hard_skills,aws,7
hard_skills,firebase,7
hard_skills,eslint,7
hard_skills,yandex cloud,7
hard_skills,pytorch,7
hard_skills,организация встреч,7
hard_skills,работа с поставщиками,6
hard_skills,инвентаризация,6
hard_skills,курсы повышения,6
hard_skills,cassandra,6
hard_skills,numpy,6
hard_skills,впр,6
hard_skills,списание,6
hard_skills,работа с кассой,6
hard_skills,архив,6
hard_skills,холодные звонки,6
hard_skills,комплектация,5
hard_skills,prettier,5
hard_skills,счета-фактуры,5
hard_skills,sqlite,5
hard_skills,осно,5
hard_skills,opencv,5
hard_skills,егаис,5
hard_skills,ндс,5
hard_skills,накладные,5
hard_skills,проверка контрагентов,5
hard_skills,корпоративное право,4
hard_skills,внесение изменений,4
hard_skills,ескд,4
hard_skills,svn,4
hard_skills,визы,4
hard_skills,машинное обучение,4
hard_skills,пфр,4
hard_skills,tensorflow,4
hard_skills,заключение контрактов,4
hard_skills,контроль поставок,4
hard_skills,b2c продажи,4
hard_skills,44-фз,4
hard_skills,shell,3
hard_skills,dart,3
hard_skills,претензионная работа,3
hard_skills,nlp,3
hard_skills,проектная документация,3
hard_skills,упаковка,3
hard_skills,ruby,3
hard_skills,сортировка,3
hard_skills,усн,3
hard_skills,microsoft sql server,3
hard_skills,mariadb,3
hard_skills,тендеры,3
hard_skills,маркировка,3
hard_skills,правка,3
hard_skills,фсс,3
hard_skills,работа с дебиторской задолженностью,3
hard_skills,план продаж,3
hard_skills,223-фз,3
hard_skills,водоснабжение,2
hard_skills,дополнительное образование,2
hard_skills,отопление,2
hard_skills,хранение документов,2
hard_skills,babel,2
hard_skills,диспетчеризация,2
hard_skills,ппр,2
hard_skills,онлайн обучение,2
hard_skills,pl/sql,2
hard_skills,отпускные,2
hard_skills,gcp,2
hard_skills,transformers,2
hard_skills,гражданское право,2
hard_skills,machine learning,2
hard_skills,ту,2
hard_skills,смр,2
hard_skills,hugging face,2
hard_skills,scikit-learn,2
hard_skills,powershell,2
hard_skills,istio,2
hard_skills,росстат,2
hard_skills,мсфо,2
hard_skills,патент,2
hard_skills,чпу,2
hard_skills,разметка,2
hard_skills,снип,2
hard_skills,внутренний контроль,2
hard_skills,атс,2
hard_skills,охрана труда,2
hard_skills,сопровождение гостей,2
hard_skills,валютный контроль,2
hard_skills,среднее образование,2
hard_skills,приём заказов,2
hard_skills,приём звонков,2
hard_skills,заказ пропусков,2
hard_skills,комплаенс,1
hard_skills,розничные продажи,1
hard_skills,мс,1
hard_skills,глонасс,1
hard_skills,мониторинг транспорта,1
hard_skills,встреча посетителей,1
hard_skills,tsql,1
hard_skills,computer vision,1
hard_skills,методика преподавания,1
hard_skills,олимпиады,1
hard_skills,rails,1
